================ Training Loss (Tue Nov 17 03:34:35 2020) ================
(epoch: 22, iters: 100, time: 0.340, data: 0.138) D_A: 0.224 G_A: 0.226 cycle_A: 1.537 idt_A: 0.444 D_B: 0.263 G_B: 0.779 cycle_B: 1.207 idt_B: 0.816 
(epoch: 22, iters: 200, time: 0.339, data: 0.002) D_A: 0.408 G_A: 0.619 cycle_A: 1.772 idt_A: 0.845 D_B: 0.250 G_B: 0.145 cycle_B: 2.492 idt_B: 0.779 
(epoch: 22, iters: 300, time: 0.339, data: 0.002) D_A: 0.261 G_A: 0.607 cycle_A: 1.853 idt_A: 0.788 D_B: 0.147 G_B: 0.600 cycle_B: 1.839 idt_B: 0.818 
(epoch: 22, iters: 400, time: 0.850, data: 0.002) D_A: 0.183 G_A: 0.728 cycle_A: 1.676 idt_A: 1.441 D_B: 0.093 G_B: 0.186 cycle_B: 2.624 idt_B: 0.732 
(epoch: 23, iters: 100, time: 0.340, data: 0.129) D_A: 0.255 G_A: 0.292 cycle_A: 1.986 idt_A: 0.735 D_B: 0.136 G_B: 0.393 cycle_B: 2.096 idt_B: 0.654 
(epoch: 23, iters: 200, time: 0.339, data: 0.002) D_A: 0.179 G_A: 0.651 cycle_A: 1.310 idt_A: 0.700 D_B: 0.312 G_B: 0.322 cycle_B: 1.643 idt_B: 0.755 
(epoch: 23, iters: 300, time: 0.339, data: 0.002) D_A: 0.327 G_A: 0.076 cycle_A: 1.545 idt_A: 0.788 D_B: 0.146 G_B: 0.579 cycle_B: 1.664 idt_B: 0.724 
(epoch: 23, iters: 400, time: 0.809, data: 0.001) D_A: 0.239 G_A: 0.264 cycle_A: 1.996 idt_A: 0.938 D_B: 0.106 G_B: 0.457 cycle_B: 1.540 idt_B: 1.046 
(epoch: 24, iters: 100, time: 0.339, data: 0.118) D_A: 0.176 G_A: 0.334 cycle_A: 1.086 idt_A: 0.746 D_B: 0.203 G_B: 0.312 cycle_B: 2.200 idt_B: 0.687 
(epoch: 24, iters: 200, time: 0.340, data: 0.001) D_A: 0.159 G_A: 0.402 cycle_A: 1.225 idt_A: 0.724 D_B: 0.251 G_B: 0.207 cycle_B: 1.653 idt_B: 0.500 
(epoch: 24, iters: 300, time: 0.339, data: 0.002) D_A: 0.108 G_A: 0.247 cycle_A: 1.489 idt_A: 0.552 D_B: 0.326 G_B: 0.543 cycle_B: 1.548 idt_B: 0.701 
(epoch: 24, iters: 400, time: 0.851, data: 0.002) D_A: 0.113 G_A: 0.447 cycle_A: 1.580 idt_A: 0.708 D_B: 0.254 G_B: 0.399 cycle_B: 1.841 idt_B: 0.690 
(epoch: 25, iters: 100, time: 0.340, data: 0.201) D_A: 0.191 G_A: 0.728 cycle_A: 1.788 idt_A: 0.878 D_B: 0.276 G_B: 0.519 cycle_B: 1.863 idt_B: 0.990 
(epoch: 25, iters: 200, time: 0.340, data: 0.001) D_A: 0.020 G_A: 1.155 cycle_A: 1.432 idt_A: 0.597 D_B: 0.054 G_B: 0.589 cycle_B: 1.497 idt_B: 0.646 
(epoch: 25, iters: 300, time: 0.340, data: 0.002) D_A: 0.148 G_A: 0.268 cycle_A: 1.910 idt_A: 0.557 D_B: 0.074 G_B: 0.474 cycle_B: 1.215 idt_B: 0.898 
(epoch: 25, iters: 400, time: 0.842, data: 0.002) D_A: 0.220 G_A: 0.530 cycle_A: 1.659 idt_A: 0.727 D_B: 0.114 G_B: 0.279 cycle_B: 1.389 idt_B: 0.635 
(epoch: 26, iters: 100, time: 0.339, data: 0.149) D_A: 0.279 G_A: 0.131 cycle_A: 2.141 idt_A: 0.645 D_B: 0.204 G_B: 0.071 cycle_B: 1.496 idt_B: 1.010 
(epoch: 26, iters: 200, time: 0.340, data: 0.002) D_A: 0.362 G_A: 1.079 cycle_A: 1.442 idt_A: 0.499 D_B: 0.151 G_B: 0.350 cycle_B: 1.293 idt_B: 0.630 
(epoch: 26, iters: 300, time: 0.339, data: 0.002) D_A: 0.081 G_A: 0.484 cycle_A: 1.552 idt_A: 0.882 D_B: 0.131 G_B: 0.918 cycle_B: 1.805 idt_B: 0.520 
(epoch: 26, iters: 400, time: 0.889, data: 0.002) D_A: 0.252 G_A: 0.265 cycle_A: 1.803 idt_A: 0.816 D_B: 0.247 G_B: 0.466 cycle_B: 1.612 idt_B: 0.782 
(epoch: 27, iters: 100, time: 0.340, data: 0.146) D_A: 0.129 G_A: 0.709 cycle_A: 1.386 idt_A: 1.028 D_B: 0.074 G_B: 0.590 cycle_B: 2.267 idt_B: 0.661 
(epoch: 27, iters: 200, time: 0.340, data: 0.001) D_A: 0.229 G_A: 0.168 cycle_A: 2.059 idt_A: 0.943 D_B: 0.728 G_B: 1.617 cycle_B: 3.085 idt_B: 1.117 
(epoch: 27, iters: 300, time: 0.340, data: 0.002) D_A: 0.194 G_A: 0.192 cycle_A: 1.968 idt_A: 0.597 D_B: 0.126 G_B: 0.506 cycle_B: 1.712 idt_B: 0.891 
(epoch: 27, iters: 400, time: 0.900, data: 0.002) D_A: 0.096 G_A: 0.509 cycle_A: 3.081 idt_A: 0.903 D_B: 0.072 G_B: 0.158 cycle_B: 2.897 idt_B: 0.941 
(epoch: 28, iters: 100, time: 0.340, data: 0.147) D_A: 0.034 G_A: 0.649 cycle_A: 1.264 idt_A: 0.518 D_B: 0.096 G_B: 0.386 cycle_B: 1.038 idt_B: 0.616 
(epoch: 28, iters: 200, time: 0.339, data: 0.001) D_A: 0.055 G_A: 0.640 cycle_A: 1.675 idt_A: 0.688 D_B: 0.113 G_B: 0.390 cycle_B: 1.366 idt_B: 0.778 
